trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.3, 'e': 0.7459999999999999}",20,0,-19.88298175714941,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.7449999999999999}",30,0,-5.038596363991025,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
156,False,"{'a': 0.3, 'e': 0.7439999999999999}",20,10,-35.49996729627853,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.7429999999999999}",35,0,-103.23773498391975,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
158,False,"{'a': 0.3, 'e': 0.7419999999999999}",35,0,-137.6731382832969,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
159,False,"{'a': 0.3, 'e': 0.7409999999999999}",20,5,-21.129248561790817,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.7399999999999999}",20,0,-147.51116008715692,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
161,False,"{'a': 0.3, 'e': 0.7389999999999999}",20,13,-53.473196138635466,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
162,False,"{'a': 0.3, 'e': 0.7379999999999999}",20,8,-36.55420046430062,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.7369999999999999}",20,3,-54.74018549361111,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.7359999999999999}",20,0,-36.85984524466184,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
165,False,"{'a': 0.3, 'e': 0.7349999999999999}",25,0,-142.0085765032972,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
166,False,"{'a': 0.3, 'e': 0.7339999999999999}",25,0,-109.65138940088153,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
167,False,"{'a': 0.3, 'e': 0.7329999999999999}",20,0,-118.20608313897135,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
168,False,"{'a': 0.3, 'e': 0.7319999999999999}",30,12,-77.8106074567792,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 1}",1
169,False,"{'a': 0.3, 'e': 0.7309999999999999}",25,15,-71.90794418055751,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 1}",1
170,False,"{'a': 0.3, 'e': 0.7299999999999999}",25,0,-7.433281665527037,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.3, 'e': 0.7289999999999999}",20,2,-52.446930758534464,"{0: 14, 1: 0, 2: 1, 3: 3, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.7279999999999999}",25,0,-163.92306598632945,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
173,False,"{'a': 0.3, 'e': 0.7269999999999999}",30,0,-130.43721847027987,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",1
174,False,"{'a': 0.3, 'e': 0.7259999999999999}",20,0,-122.10399557526111,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
175,False,"{'a': 0.3, 'e': 0.7249999999999999}",20,5,-15.512026303422797,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.7239999999999999}",20,0,-25.622793357900015,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
177,False,"{'a': 0.3, 'e': 0.7229999999999999}",25,4,-30.5759294700626,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 1}",1
178,False,"{'a': 0.3, 'e': 0.7219999999999999}",20,0,-135.05609177675515,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
179,False,"{'a': 0.3, 'e': 0.7209999999999999}",20,0,-66.42678100597797,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
180,False,"{'a': 0.3, 'e': 0.7199999999999999}",25,0,-60.09268479323285,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
181,False,"{'a': 0.3, 'e': 0.7189999999999999}",35,16,-55.9960753652083,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 1}",1
182,False,"{'a': 0.3, 'e': 0.7179999999999999}",20,0,-34.73546847633414,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
183,False,"{'a': 0.3, 'e': 0.7169999999999999}",25,0,-59.394569994916374,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
184,False,"{'a': 0.3, 'e': 0.7159999999999999}",25,12,1.0286832049718413,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.7149999999999999}",20,0,-30.051197333748316,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
186,False,"{'a': 0.3, 'e': 0.7139999999999999}",20,0,-13.857083997985946,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
187,False,"{'a': 0.3, 'e': 0.7129999999999999}",25,0,-56.182157001852765,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
